sample	numcalls	meanDP	HipSTRCallMinDepth10	HipSTRCallMinQ0.9
NA12751	7	45.142857142857146	0	0
NA12760	7	37.714285714285715	0	0
NA12761	7	39.285714285714285	0	0
NA12762	7	39.0	0	0
NA12763	7	36.57142857142857	0	0
NA12775	7	36.57142857142857	0	0
NA12776	7	40.57142857142857	0	0
NA12777	7	46.285714285714285	0	0
NA12778	6	32.666666666666664	0	0
NA12812	6	41.833333333333336	0	0
NA12813	7	64.57142857142857	0	0
NA12814	7	46.714285714285715	0	0
NA12815	7	44.142857142857146	0	0
NA12827	7	53.857142857142854	0	0
NA12829	7	61.42857142857143	0	0
NA12830	7	31.714285714285715	0	0
NA12842	7	37.142857142857146	0	0
NA12843	7	36.42857142857143	0	0
NA12872	7	49.0	0	0
NA12873	7	51.42857142857143	0	0
NA12874	7	45.714285714285715	0	0
NA12889	7	53.142857142857146	0	0
NA12890	7	37.857142857142854	0	0
NA20502	7	37.857142857142854	0	0
NA20503	7	44.285714285714285	0	0
NA20504	7	37.57142857142857	0	0
NA20505	7	38.285714285714285	0	0
NA20506	7	42.857142857142854	0	0
NA20507	6	39.666666666666664	0	1
NA20508	7	38.57142857142857	0	0
NA20509	7	44.42857142857143	0	0
NA20510	7	37.57142857142857	0	0
NA20512	7	41.142857142857146	0	0
NA20513	7	37.42857142857143	0	0
NA20514	7	37.857142857142854	0	0
NA20515	7	35.714285714285715	0	0
NA20516	7	40.714285714285715	0	0
NA20517	7	44.0	0	0
NA20518	7	38.0	0	0
NA20519	7	38.57142857142857	0	0
NA20520	6	51.5	0	0
NA20521	7	37.142857142857146	0	0
NA20524	7	43.0	0	0
NA20525	7	38.714285714285715	0	0
NA20527	7	38.857142857142854	0	0
NA20528	6	39.166666666666664	0	1
NA20529	7	41.0	0	0
NA20530	7	39.714285714285715	0	0
NA20531	7	38.285714285714285	0	0
NA20532	7	39.857142857142854	0	0
NA20534	7	44.285714285714285	0	0
NA20535	7	38.42857142857143	0	0
NA20536	7	36.857142857142854	0	0
NA20538	6	40.833333333333336	0	0
NA20539	7	36.0	0	0
NA20540	7	37.57142857142857	0	0
NA20541	7	38.0	0	0
NA20542	7	39.142857142857146	0	0
NA20543	7	37.42857142857143	0	0
NA20544	7	38.42857142857143	0	0
NA20581	7	41.57142857142857	0	0
NA20582	7	35.42857142857143	0	0
NA20585	7	38.285714285714285	0	0
NA20586	7	41.714285714285715	0	0
NA20588	7	38.142857142857146	0	0
NA20589	6	43.666666666666664	0	1
NA20752	7	37.42857142857143	0	0
NA20754	7	40.857142857142854	0	0
NA20756	7	39.0	0	0
NA20757	7	37.285714285714285	0	0
NA20758	7	40.42857142857143	0	0
NA20759	7	47.0	0	0
NA20760	7	37.142857142857146	0	0
NA20761	7	37.142857142857146	0	0
NA20765	7	36.857142857142854	0	0
NA20766	7	39.57142857142857	0	0
NA20768	6	37.0	0	1
NA20769	7	37.0	0	0
NA20770	6	37.5	0	0
NA20771	7	41.857142857142854	0	0
NA20772	7	34.42857142857143	0	0
NA20773	7	36.285714285714285	0	0
NA20774	7	46.57142857142857	0	0
NA20778	7	37.142857142857146	0	0
NA20783	7	40.42857142857143	0	0
NA20785	7	39.0	0	0
NA20786	7	47.0	0	0
NA20787	7	40.42857142857143	0	0
NA20790	7	42.142857142857146	0	0
NA20792	6	43.833333333333336	0	0
NA20795	6	41.833333333333336	0	0
NA20796	7	40.0	0	0
NA20797	7	36.714285714285715	0	0
NA20798	7	35.0	0	0
NA20799	7	37.285714285714285	0	0
NA20800	6	40.5	0	1
NA20801	7	39.42857142857143	0	0
NA20802	7	37.0	0	0
NA20803	7	41.0	0	0
NA20804	7	35.857142857142854	0	0
NA20805	7	42.0	0	0
NA20806	7	38.285714285714285	0	0
NA20807	7	40.142857142857146	0	0
NA20808	7	41.42857142857143	0	0
NA20809	7	36.0	0	0
NA20810	7	42.57142857142857	0	0
NA20811	6	40.833333333333336	0	0
NA20812	7	42.42857142857143	0	0
NA20813	7	39.142857142857146	0	0
NA20814	7	40.285714285714285	0	0
NA20815	7	38.0	0	0
NA20819	6	34.166666666666664	0	0
NA20826	7	47.42857142857143	0	0
NA20828	7	40.57142857142857	0	0
